년월,정류소명,정류소ID,승차,하차
Jan-20,강정(종점),7111032900,11,11
Jan-20,강정보(디아크문화관)건너,7111049800,5,6
Jan-20,강정보(디아크문화관)입구,7111049900,181,15
Jan-20,강창교1,7111009900,"2,642",323
Jan-20,강창교2,7111062100,131,"1,082"
Jan-20,강창역(1번출구),7041032500,"5,568","1,523"
Jan-20,강창역(2번출구),7041037700,"22,192",772
Jan-20,강창하이츠,7111019400,"8,341",626
Jan-20,거동교1,7021032100,"2,469","1,535"
Jan-20,거동교2,7021032200,"1,452",633
Jan-20,건들바위건너,7001008100,779,791
Jan-20,건들바위앞,7001008200,256,722
Jan-20,건영아파트건너,7021026400,"4,832","5,879"
Jan-20,건영캐스빌건너,7111047500,"8,292","1,382"
Jan-20,건영캐스빌앞,7111010300,"4,355","1,561"
Jan-20,검단동대구축협앞,7021042200,"3,237",94
Jan-20,검단동행정복지센터1,7021055200,934,40
Jan-20,검단동행정복지센터2,7021055300,4,466
Jan-20,검단동행정복지센터건너,7021019000,"9,102",72
Jan-20,검단동행정복지센터앞,7021018900,52,648
Jan-20,검단상가아파트건너,7021019100,5,15
Jan-20,검단상가아파트앞,7021042300,391,3
Jan-20,검단유성아파트(서편),7021019400,"7,007","1,473"
Jan-20,검단유성아파트건너,7021018500,"4,237","1,210"
Jan-20,검단유성아파트앞,7021018600,"15,819","3,546"
Jan-20,경기장네거리1,7061029300,"4,621",825
Jan-20,경기장네거리2,7061029200,"3,125",210
Jan-20,경대교2,7021054800,"6,055",697
Jan-20,경대교건너,7021023800,704,287
Jan-20,경대교앞,7021023700,733,"1,287"
Jan-20,경대사대부설고등학교앞,7001007500,"18,704","8,618"
Jan-20,경대아파트앞,7011010200,"4,609","3,846"
Jan-20,경덕여고,7031020100,807,750
Jan-20,경동산업앞,7021019600,13,1
Jan-20,경명여고건너,7021028500,"1,748",552
Jan-20,경명여고앞,7021028400,"1,975","1,350"
Jan-20,경북고등학교건너,7061017700,"7,201","3,639"
Jan-20,경북고등학교앞,7061017600,"11,871","1,290"
Jan-20,경북공고건너,7001003100,"4,590","3,736"
Jan-20,경북공고앞,7001003000,"6,342","3,958"
Jan-20,경북교통,7011018200,"2,485","8,225"
Jan-20,경북교통앞,7011018300,"3,008","2,318"
Jan-20,경북기계공고건너,7041017300,"6,299","4,408"
Jan-20,경북기계공고앞,7041017200,"6,281","4,208"
Jan-20,경북농업기술원건너,7021051400,29,45
Jan-20,경북농업기술원앞,7021003800,7,4
Jan-20,경북대체육센터건너,7021025700,"10,277",642
Jan-20,경북대체육센터앞,7021022300,"8,056","6,642"
Jan-20,경북대학교 경상대학앞,7011010100,"27,996","4,217"
Jan-20,경북대학교병원건너,7001009700,"14,520","7,430"
Jan-20,경북대학교병원앞,7001009800,"27,021","5,399"
Jan-20,경북대학교북문건너,7021025900,"56,164","2,892"
Jan-20,경북대학교북문앞,7021025800,"20,632","6,532"
Jan-20,경북대학교서문건너,7021022400,"6,048","1,865"
Jan-20,경북대학교서문앞,7021022500,"3,586","1,851"
Jan-20,경북대학교정문건너,7011010300,"7,051","4,742"
Jan-20,경북대학교정문앞,7011010400,"19,197","4,915"
Jan-20,경북대학교체육센터건너2,7021022200,610,443
Jan-20,경북대학교치과병원,7001007600,"22,226","10,718"
Jan-20,경북아파트건너(신천동),7011005800,"3,250","13,277"
Jan-20,경북아파트앞(신천동),7011005700,"6,567","3,712"
Jan-20,경북여상건너,7051000600,"8,031","8,482"
Jan-20,경북여상앞,7051000700,"13,918","2,512"
Jan-20,경북크랑크,7041044000,"1,823",136
Jan-20,경상감영공원건너,7001004300,"71,477","13,149"
Jan-20,경상감영공원앞,7001004600,"91,887","51,439"
Jan-20,경상북도농업인회관,7021003600,2,2
Jan-20,경상북도인재개발원1,7021003700,11,4
Jan-20,경상북도인재개발원2,7021003500,3,0
Jan-20,경상여자고등학교건너,7021017000,"3,168",462
Jan-20,경상여자고등학교앞,7021017100,"5,494","4,273"
Jan-20,경신고등학교건너,7061001400,"43,380","6,430"
Jan-20,경신고등학교앞,7061001300,"40,071","8,797"
Jan-20,경운초등학교건너,7031014600,"1,248",788
Jan-20,경운초등학교앞,7031014500,"3,179","1,221"
Jan-20,경원고등학교건너,7031015000,514,103
Jan-20,경원고등학교앞,7031014900,286,49
Jan-20,경일여자중학교건너,7051012000,"14,048","2,293"
Jan-20,경일여자중학교앞,7051011900,"2,768","2,239"
Jan-20,경주최씨종가(종점),7011030300,192,0
Jan-20,경주최씨종가1,7011030200,91,8
Jan-20,경주최씨종가2,7011038600,25,3
Jan-20,경진초등학교건너,7011010000,"4,716","5,606"
Jan-20,경진초등학교앞,7011009900,"14,769","1,158"
Jan-20,경진테크빌앞,7001004700,"1,396","1,306"
Jan-20,경창산업,7041043500,"1,241",261
Jan-20,경희강재건너,7041011900,616,545
Jan-20,경희강재앞,7041012000,"1,777",92
Jan-20,계명대대명캠퍼스후문건너,7051007200,"3,287",802
Jan-20,계명대역(1번출구),7041001000,"1,038","1,715"
Jan-20,계명대역(2번출구),7041033700,"3,633","5,013"
Jan-20,계명대학교대명캠퍼스건너,7001000400,"9,894","4,297"
Jan-20,계명대학교대명캠퍼스앞,7001000300,"10,162","7,059"
Jan-20,계명대학교대명캠퍼스후문앞,7051007300,"2,616",926
Jan-20,계명대학교동문건너1,7041000500,"9,580","1,170"
Jan-20,계명대학교동문건너2,7041000900,"34,148","10,227"
Jan-20,계명대학교동문앞,7041000800,"17,112","7,127"
Jan-20,계명대학교동산병원건너,7041061300,"9,391",621
Jan-20,계명대학교동산병원앞,7041063100,"2,322","2,246"
Jan-20,계명대학교정문건너,7041001200,"13,327","1,468"
Jan-20,계명대학교정문앞,7041001100,"2,694","2,697"
Jan-20,계명문화대학건너,7041000400,"9,814","1,439"
Jan-20,계명문화대학앞,7041000300,"6,909","21,606"
Jan-20,고래들공원건너,7111071400,663,39
Jan-20,고래들공원앞,7111071300,95,82
Jan-20,고모동입구,7061032500,"6,243","4,234"
Jan-20,고모역건너,7061028800,254,170
Jan-20,고모역앞,7061038500,74,66
Jan-20,고봉리,7111025800,250,0
Jan-20,고봉리2,7111073800,128,4
Jan-20,고산2동행정복지센터건너,7061025100,"10,431","3,360"
Jan-20,고산2동행정복지센터앞,7061025200,"17,176",693
Jan-20,고산골입구,7051012300,"4,044",776
Jan-20,고산농협창고건너,7061025000,601,218
Jan-20,고산농협창고앞,7061024900,286,"3,407"
Jan-20,고산도서관,7061026700,"16,455","6,186"
Jan-20,고산역화성파크드림건너,7061025800,"14,685","3,578"
Jan-20,고산역화성파크드림앞,7061025700,"10,477","3,969"
Jan-20,고산정수사업소건너,7061036000,"1,937",310
Jan-20,고성아파트(서편),7021012300,"4,861","3,436"
Jan-20,고성아파트건너,7021030400,"1,208",19
Jan-20,고성아파트건너(서편),7021012200,"2,199","2,012"
Jan-20,고성아파트앞,7021030500,57,164
Jan-20,고성지구대1,7021012400,725,627
Jan-20,고성지구대2,7021012500,"1,920","2,056"
Jan-20,골안골,7051014900,14,30
Jan-20,골안골지하보도앞,7051014200,3,84
Jan-20,공고네거리1,7011009400,"20,287","10,491"
Jan-20,공고네거리2,7011009300,"9,812","3,185"
Jan-20,공군기지관사입구,7011030800,108,45
Jan-20,공단역1,7021018000,"13,351","7,753"
Jan-20,공단역2,7031014300,"17,566","8,445"
Jan-20,공단하수처리장건너,7111032200,24,625
Jan-20,공단하수처리장앞,7111032100,187,33
Jan-20,공산댐건너,7011026300,"1,655",136
Jan-20,공산댐앞,7011035900,9,89
Jan-20,공산동행정복지센터건너,7011001300,697,552
Jan-20,공산동행정복지센터앞,7011001400,"4,423",278
Jan-20,공산초등학교건너,7011023000,191,107
Jan-20,공산초등학교앞,7011023100,"1,885",78
Jan-20,공산파출소,7011040200,41,107
Jan-20,공항시장건너,7011012500,"10,515",747
Jan-20,공항시장앞,7011012600,"2,981","2,679"
Jan-20,과학마을청아람앞,7111059500,"10,552",210
Jan-20,곽병원건너,7001006200,"61,057","23,625"
Jan-20,곽병원앞1,7001006300,"23,755","9,005"
Jan-20,곽병원앞2,7001006100,"10,147","3,258"
Jan-20,관리공단,7111008600,343,224
Jan-20,관음공영주차장앞,7021041000,"1,377",158
Jan-20,관음농협앞,7021041100,"1,216",137
Jan-20,관음동행정복지센터건너,7021041300,704,102
Jan-20,관음동행정복지센터앞,7021044900,"1,286",85
Jan-20,관음변전소1,7021001500,"3,570",179
Jan-20,관음변전소2,7021001400,429,417
Jan-20,관음변전소3,7021054900,415,0
Jan-20,관음변전소4,7021055000,24,7
Jan-20,관음어린이집,7021041200,953,219
Jan-20,관음중학교(북편),7021044800,"1,145",108
Jan-20,광명프레지던트아파트건너,7061014700,"8,124","4,538"
Jan-20,광장타운건너,7031004300,"11,464","3,498"
Jan-20,광장타운앞,7031004200,"11,866","2,921"
Jan-20,교대부설초등학교건너,7041020800,"4,568",474
Jan-20,교대부설초등학교앞,7041020900,70,998
Jan-20,교동시장앞,7001010700,"3,018","1,281"
Jan-20,교동초등학교건너,7021041400,721,114
Jan-20,교동초등학교앞,7021045000,"1,517",213
Jan-20,교통연수원,7061022000,"7,786",606
Jan-20,교통연수원건너,7061022100,"3,162",609
Jan-20,교항2리마을입구,7111049500,2,193
Jan-20,교항2리회관,7111017400,215,12
Jan-20,교항리건너,7111005500,"7,843",115
Jan-20,교항리마을입구건너,7111062400,61,2
Jan-20,교항리앞,7111005400,929,"1,442"
Jan-20,구)대영학원건너,7031009400,"13,181","3,477"
Jan-20,구)대영학원앞,7031009500,"18,659","8,034"
Jan-20,구.남부정류장건너1,7061001700,"7,180","8,863"
Jan-20,구.남부정류장건너2,7061028700,"6,714","5,087"
Jan-20,구.남부정류장앞1,7061001800,"16,743","4,038"
Jan-20,구.남부정류장앞2,7061001900,"3,407","1,480"
Jan-20,구.대봉도서관건너,7001009100,915,465
Jan-20,구.대봉도서관앞,7001009000,"2,432",621
Jan-20,구.동부정류장(메트로팔레스),7011004700,"8,938","3,806"
Jan-20,구둔산,7011036100,461,41
Jan-20,구라1리1,7111078100,0,4
Jan-20,구라1리2,7111078200,1,2
Jan-20,구라3리1,7111076900,0,2
Jan-20,구라3리2,7111077000,20,0
Jan-20,구라리,7111036800,0,7
Jan-20,구라리2,7111077100,0,1
Jan-20,구룡촌건너,7111051800,1,0
Jan-20,구룡촌앞,7111051900,30,0
Jan-20,구병원건너,7041008500,"8,655","4,862"
Jan-20,구병원앞,7041008400,"16,405","5,513"
Jan-20,구삼폭포건너,7111049300,5,28
Jan-20,구삼폭포앞,7111049200,37,0
Jan-20,구암가구골목1,7021008000,"1,154",746
Jan-20,구암가구골목2,7021008100,657,227
Jan-20,구암교1,7021008400,"2,542","1,075"
Jan-20,구암교2,7021008500,"1,747",994
Jan-20,구암동1,7011022400,549,41
Jan-20,구암동2,7011022500,114,304
Jan-20,구암역(운전면허시험장)1,7021008200,"3,456",630
Jan-20,구암역(운전면허시험장)2,7021008300,"1,560",363
Jan-20,구암초등학교건너,7021007500,486,210
Jan-20,구암초등학교앞,7021007400,"2,138",117
Jan-20,구지면사무소건너,7111041200,222,495
Jan-20,구지면사무소앞,7111041300,"1,257",99
Jan-20,구지중학교건너,7111077500,56,"1,173"
Jan-20,구지중학교앞,7111077400,"3,070",14
Jan-20,국가물산업클러스터건너,7111060000,56,479
Jan-20,국가물산업클러스터앞,7111060100,352,268
Jan-20,국가산단반도유보라2차,7111044200,8,37
Jan-20,국가산단서한이다음,7111078600,"1,320",3
Jan-20,국가산단서한이다음건너,7111078700,9,207
Jan-20,국립대구과학관건너,7111077300,1,28
Jan-20,국립대구과학관앞,7111077200,189,8
Jan-20,국립대구과학관정문건너,7111065100,723,75
Jan-20,국립대구과학관정문앞,7111065000,45,153
Jan-20,국립대구박물관건너,7061017800,"8,970","1,521"
Jan-20,국립대구박물관앞,7061017900,"6,182","3,368"
Jan-20,국립식량과학원대구시험지,7111043100,0,33
Jan-20,국립신암선열공원건너,7011008500,"4,114","7,584"
Jan-20,국립신암선열공원앞,7011008400,"1,744","1,032"
Jan-20,국민건강보험공단건너,7041024300,"20,399","2,461"
Jan-20,국민건강보험공단앞,7041024400,"11,605","7,606"
Jan-20,국민연금네거리,7041060600,"7,908","1,869"
Jan-20,국민연금네거리1,7041060700,"4,202","2,586"
Jan-20,국민은행3공단지점건너,7021009100,"3,502",900
Jan-20,국민은행3공단지점앞,7021009200,"2,403",683
Jan-20,국우동현대아파트건너,7021042900,510,75
Jan-20,국우동현대아파트건너2,7021061500,225,238
Jan-20,국우동현대아파트앞,7021039400,"4,274",849
Jan-20,국채보상운동기념공원,7001009600,"5,577","5,066"
Jan-20,굿모닝병원건너,7051000500,"9,142","5,260"
Jan-20,굿모닝병원앞,7051006900,"10,739","3,430"
Jan-20,귀남지휴게소1,7111030700,7,1
Jan-20,그랜드호텔건너,7061003700,"28,321","11,476"
Jan-20,그랜드호텔앞,7061003600,"30,275","6,882"
Jan-20,그린빌4단지,7021037300,479,878
Jan-20,그린빌4단지건너,7021037100,575,56
Jan-20,그린빌4단지앞,7021037200,328,90
Jan-20,근로복지공단대구병원건너,7021054300,349,"1,275"
Jan-20,근로복지공단대구병원앞,7021053900,"11,057",115
Jan-20,근린공원축구장건너,7111057000,"1,863",296
Jan-20,근린공원축구장앞,7111057800,846,14
Jan-20,금강동,7011032300,146,7
Jan-20,금계초등학교(교항리),7111017500,363,183
Jan-20,금계초등학교(교항리)건너,7111071700,"2,196",10
Jan-20,금복주건너,7041012400,"2,485",689
Jan-20,금복주앞,7041012500,"1,830",501
Jan-20,금봉네거리1,7041025900,"8,189","1,018"
Jan-20,금봉네거리2,7041026100,"3,640",741
Jan-20,금사리하이빌APT건너,7111032800,"1,005",131
Jan-20,금사리하이빌APT앞,7011020700,339,222
Jan-20,금융감독원건너,7061014500,436,"1,917"
Jan-20,금포1교1,7111070800,"1,010",40
Jan-20,금포1교2,7111070700,7,5
Jan-20,금포1교3,7111075500,2,129
Jan-20,금포교,7111075600,218,39
Jan-20,금포새터길1,7111075700,441,14
Jan-20,금포새터길2,7111075800,4,89
Jan-20,금포초등학교,7111012700,"2,740",400
Jan-20,금포초등학교건너,7111012600,802,363
Jan-20,금호119안전센터건너,7021057600,528,101
Jan-20,금호119안전센터앞,7021057100,16,203
Jan-20,금호기전,7041039400,222,53
Jan-20,금호서한이다음아파트건너,7021059000,74,44
Jan-20,금호서한이다음아파트앞,7021058900,"7,178",137
Jan-20,금호지구종점(시내방향),7021059300,148,0
Jan-20,금호지구종점(종점방향),7021059400,738,5
Jan-20,금호천년나무1단지건너,7021059200,105,372
Jan-20,금호천년나무1단지동편,7021059500,"5,527",82
Jan-20,금호천년나무1단지동편건너,7021057200,55,"1,314"
Jan-20,금호천년나무1단지앞,7021059100,175,314
Jan-20,금호천년나무8단지앞,7021060600,17,86
Jan-20,금호화물자동차공영차고지,7031020600,311,15
Jan-20,기곡(종점),7111029600,175,12
Jan-20,기곡리1,7111043300,13,1
Jan-20,기곡리2,7111043400,37,0
Jan-20,기업은행대곡지점건너,7041022000,"1,040","4,018"
Jan-20,기업은행대곡지점앞,7041021900,"25,492",833
Jan-20,기업은행죽전동지점건너,7041002500,"5,911",844
Jan-20,기업은행죽전동지점앞,7041002600,"2,012",928
Jan-20,김흥1리건너,7111065700,17,1
Jan-20,김흥1리앞,7111065600,45,10
Jan-20,김흥2리건너,7111053000,1,2
Jan-20,김흥2리앞,7111053100,8,0
Jan-20,김흥리마을입구,7111051500,86,1
Jan-20,나불지건너,7011059500,451,90
Jan-20,나불지앞,7011059400,580,551
Jan-20,남구종합스포츠타운건너,7051012800,418,208
Jan-20,남구종합스포츠타운앞,7051012900,"2,367",237
Jan-20,남구청건너1,7051017200,958,78
Jan-20,남구청건너2,7051009100,"5,567","7,264"
Jan-20,남구청네거리1,7051011500,"6,165","1,869"
Jan-20,남구청네거리2,7051015800,797,240
Jan-20,남구청앞,7051017100,257,658
Jan-20,남대구IC1,7041011500,"14,356","1,011"
Jan-20,남대구IC2,7041011600,"5,739",837
Jan-20,남도버스1,7041060100,"2,037",40
Jan-20,남도버스2,7041060200,"1,636",540
Jan-20,남명삼거리1,7051004000,"2,573",275
Jan-20,남명삼거리2,7051004100,"1,214",444
Jan-20,남문시장건너1,7001012400,91,39
Jan-20,남문시장건너2,7001001800,"10,274","16,059"
Jan-20,남문시장앞,7001001900,"19,828","11,775"
Jan-20,남문아파트앞,7001003500,48,34
Jan-20,남부경찰서앞,7051013400,"8,803","5,458"
Jan-20,남부교육지원청건너,7041016000,"4,995",974
Jan-20,남부교육지원청앞,7041016100,"3,754","1,420"
Jan-20,남부도서관앞,7051005100,"1,106",813
Jan-20,남부자동차종합시장건너,7041011800,"2,710",931
Jan-20,남부자동차종합시장앞,7041011700,"1,235",252
Jan-20,남부초등학교건너,7041048500,"1,181",56
Jan-20,남부초등학교앞,7041048600,370,330
Jan-20,남부초등학교앞2,7041026000,"3,653",998
Jan-20,남산2동주민센터건너,7001003400,117,65
Jan-20,남산2동주민센터앞,7001012500,283,48
Jan-20,남산고등학교건너,7061027300,248,109
Jan-20,남산고등학교앞,7061005900,294,171
Jan-20,남산역(프린스호텔건너),7001002800,"11,198","2,853"
Jan-20,남산역건너(프린스호텔앞),7001002900,"17,501","6,976"
Jan-20,남산초등학교건너,7001003300,"11,061","1,905"
Jan-20,남산초등학교앞,7001003200,"8,170","6,314"
Jan-20,남해오네뜨2차앞,7111074300,"1,199",27
Jan-20,내곡동마을회관,7011062400,8,1
Jan-20,내당1동우체국건너,7031008300,"2,106",390
Jan-20,내당1동우체국앞,7031008400,"2,194",471
Jan-20,내당광명아파트,7031000400,"3,504","1,907"
Jan-20,내당삼익맨션건너,7031004600,"17,746","5,717"
Jan-20,내당삼익맨션앞,7031004700,"10,656","12,967"
